Lilliana,Medical,26-343879-718762-6,surgeon
Noelia,Medical,64-436331-666893-2,orthodontist
Ivory,Medical,82-291919-025495-0,orthodontist
Roman,NULP,14-473968-345690-9,dentist
Armando,NULP,48-870174-137192-0,surgeon
Rita,LNU,74-752666-952811-1,surgeon
Ines,Medical,29-033347-609518-1,dentist
Melyna,Medical,57-160231-490204-2,surgeon
Hope,LNU,87-986718-739040-6,surgeon
Marcia,NULP,42-296981-758797-1,surgeon
